         0                   0,                   1                   0
         0                   0,                   1                   0
         0                   0,            0.215678                   0
         0                   0,                   1                   0
         0                   0,            0.215678                   0
         0                   0,           0.0969103                   0
         0                   0,                   1                   0
         0                   0,            0.215678                   0
         0                   0,           0.0969103                   0
         0                   0,           0.0435446                   0
         1                   1,                   1                   1
         1                 0.5,                   1                 1.5
         1                   0,            0.215678                 1.5
         1            0.166667,                   1             1.66667
         1                   0,            0.215678             1.66667
         1                   0,           0.0969103             1.66667
         1           0.0416667,                   1             1.70833
         1                   0,            0.215678             1.70833
         1                   0,           0.0969103             1.70833
         1                   0,           0.0435446             1.70833
         2                   0,                   1                   0
         2                 0.5,                   1                 0.5
         2                 0.5,            0.215678            0.607839
         2            0.666667,                   1             1.27451
         2            0.166667,            0.215678             1.31045
         2                   0,           0.0969103             1.31045
         2            0.458333,                   1             1.76879
         2           0.0416667,            0.215678             1.77777
         2                   0,           0.0969103             1.77777
         2                   0,           0.0435446             1.77777
         3                   0,                   1                   0
         3                   0,                   1                   0
         3                 0.5,            0.215678            0.107839
         3            0.166667,                   1            0.274506
         3            0.666667,            0.215678            0.418291
         3            0.166667,           0.0969103            0.434443
         3            0.458333,                   1            0.892776
         3            0.458333,            0.215678            0.991628
         3           0.0416667,           0.0969103            0.995666
         3                   0,           0.0435446            0.995666
         4                   0,                   1                   0
         4                   0,                   1                   0
         4                   0,            0.215678                   0
         4                   0,                   1                   0
         4            0.166667,            0.215678           0.0359463
         4            0.666667,           0.0969103            0.100553
         4           0.0416667,                   1             0.14222
         4            0.458333,            0.215678            0.241072
         4            0.458333,           0.0969103            0.285489
         4           0.0416667,           0.0435446            0.287304
         5                   0,                   1                   0
         5                   0,                   1                   0
         5                   0,            0.215678                   0
         5                   0,                   1                   0
         5                   0,            0.215678                   0
         5            0.166667,           0.0969103           0.0161517
         5                   0,                   1           0.0161517
         5           0.0416667,            0.215678           0.0251383
         5            0.458333,           0.0969103           0.0695555
         5            0.458333,           0.0435446           0.0895135
         6                   0,                   1                   0
         6                   0,                   1                   0
         6                   0,            0.215678                   0
         6                   0,                   1                   0
         6                   0,            0.215678                   0
         6                   0,           0.0969103                   0
         6                   0,                   1                   0
         6                   0,            0.215678                   0
         6           0.0416667,           0.0969103          0.00403793
         6            0.458333,           0.0435446           0.0239959
         7                   0,                   1                   0
         7                   0,                   1                   0
         7                   0,            0.215678                   0
         7                   0,                   1                   0
         7                   0,            0.215678                   0
         7                   0,           0.0969103                   0
         7                   0,                   1                   0
         7                   0,            0.215678                   0
         7                   0,           0.0969103                   0
